东城|安定门|北二环护城河畔 高层观景房 皇城景色尽览无余|中景濠庭| | 3室2厅 | 191.65平米 | 东 南 | 简装|中楼层(共22层)  2001年建塔楼  -  |安定门|1450万|单价75659元/平米
东城|安定门|凯景铭座 高档公寓楼 柳荫公园边上 观景三居|凯景铭座| | 3室2厅 | 156.2平米 | 西 北 | 精装|中楼层(共19层)  2001年建塔楼  -  |安定门|880万|单价56339元/平米
东城|安定门|青年湖东里  南向大两居  满五唯一  诚心出售|青年湖东里| | 2室1厅 | 69.36平米 | 南 | 简装|高楼层(共18层)  1988年建塔楼  -  |安定门|515万|单价74251元/平米
东城|安定门|西营房 2005年 高楼层采光好 全明格局  满五唯一|西营房| | 3室1厅 | 102.88平米 | 西 北 | 精装|中楼层(共16层)  2006年建塔楼  -  |安定门|705万|单价68527元/平米
东城|安定门|北二环  青年湖公园旁边 东西向带大客厅  诚心出售|青年湖东里| | 2室2厅 | 77.36平米 | 东 西 | 简装|高楼层(共6层)  1992年建板楼  -  |安定门|470万|单价60755元/平米
东城|安定门|稀缺朝南两居室，超大客厅采光好，直升171中学|西营房| | 2室1厅 | 98.56平米 | 南 | 精装|低楼层(共19层)  2006年建塔楼  -  |安定门|690万|单价70009元/平米
东城|安定门|安外三条学区房，两居，紧邻柳荫公园，门口多路公交！|安外大街3号院| | 2室1厅 | 56.03平米 | 东 西 | 精装|低楼层(共12层)  1988年建板塔结合  -  |安定门|398万|单价71034元/平米
东城|安定门|安外西河沿 临公园地铁 客厅16平米 安外三条小学|安外西河沿| | 2室1厅 | 69.83平米 | 东北 | 简装|中楼层(共12层)  1983年建板塔结合  -  |安定门|488万|单价69885元/平米
东城|安定门|青年湖东里 电梯楼 双南向二居室 |青年湖东里| | 2室1厅 | 63.79平米 | 南 | 简装|低楼层(共18层)  1988年建塔楼  -  |安定门|540万|单价84653元/平米
东城|安定门|满五年唯一   西南向两居室    商品房|巷上嘉园| | 2室1厅 | 103.37平米 | 西南 | 简装|中楼层(共24层)  2005年建板塔结合  -  |安定门|850万|单价82229元/平米
东城|安定门|凯景铭座 可观整个柳荫公园 楼王户型 霸道4居室出售|凯景铭座| | 4室2厅 | 179.48平米 | 东 南 | 简装|中楼层(共19层)  2001年建塔楼  -  |安定门|1300万|单价72432元/平米
东城|安定门|临近北二环 临近地铁 南北朝向 公寓两居|中景濠庭| | 2室2厅 | 121平米 | 南 北 | 精装|中楼层(共22层)  2001年建塔楼  -  |安定门|930万|单价76860元/平米
东城|安定门|安外东河沿  和平里四小  背靠公园  临近地铁|安外东河沿| | 2室1厅 | 56.65平米 | 南 北 | 精装|低楼层(共7层)  1993年建板楼  -  |安定门|490万|单价86497元/平米
东城|安定门|青年湖南街 工人日报社央产房 全明格局|青年湖南街| | 2室1厅 | 65.41平米 | 东 西 | 简装|中楼层(共10层)  1992年建板塔结合  -  |安定门|530万|单价81028元/平米
东城|安定门|安定门 中化集团央产 98年 经典2居室 可改3居 |上龙西里| | 2室2厅 | 107.73平米 | 南 北 | 简装|中楼层(共18层)  1995年建塔楼  -  |安定门|850万|单价78901元/平米
东城|安定门|青年湖北里双南两居划片安外三条小学|青年湖北里| | 2室1厅 | 54.45平米 | 南 | 简装|高楼层(共6层)  1988年建板楼  -  |安定门|385万|单价70708元/平米
东城|安定门|青年湖南街   满五年唯一   东西通透  两居室|青年湖南街| | 2室1厅 | 65.85平米 | 东 西 | 简装|高楼层(共10层)  1992年建板塔结合  -  |安定门|498万|单价75627元/平米
东城|安定门|方家小学划片 直升五中  一居改两居 热卖 有钥匙|永康胡同1号院| | 2室1厅 | 52.38平米 | 东 北 | 精装|低楼层(共7层)  2002年建板楼  -  |安定门|560万|单价106912元/平米
东城|安定门|东城区经典两居 总价低 临公园和地铁 管理好 装修好|安德路47号院| | 2室1厅 | 59平米 | 东 西 | 简装|中楼层(共6层)  1995年建板楼  -  |安定门|435万|单价73729元/平米
东城|安定门|安定门，安外西河沿，南北通透2居，满五年唯一精装修|安外西河沿| | 2室1厅 | 63.7平米 | 南 北 | 精装|高楼层(共12层)  1985年建板塔结合  -  |安定门|528万|单价82889元/平米
东城|安定门|花园胡同8号院 安定医院家属楼 低楼层 南北向3居室 |花园胡同8号院| | 3室1厅 | 66.8平米 | 南 北 | 简装|低楼层(共6层)  1985年建板楼  -  |安定门|540万|单价80839元/平米
东城|安定门|双南两居 四小学区 满五唯一 地铁房|安外东河沿| | 2室1厅 | 59.68平米 | 南 北 | 简装|低楼层(共16层)  1992年建塔楼  -  |安定门|528万|单价88472元/平米
东城|安定门|安定门  三秀涵雅  03年高端商品房  经典1居室 随时看|三秀涵雅| | 1室1厅 | 88平米 | 西 | 精装|高楼层(共18层)  2000年建塔楼  -  |安定门|588万|单价66819元/平米
东城|安定门|地铁雍和宫和平里四小学区单价低户型方正两室带大客厅|安外东河沿| | 2室2厅 | 75.5平米 | 南 北 | 简装|中楼层(共7层)  1993年建板楼  -  |安定门|579万|单价76689元/平米
东城|安定门|北二环 青年湖东里  南向一居室|青年湖东里| | 1室1厅 | 37.64平米 | 南 | 简装|中楼层(共5层)  1970年建板楼  -  |安定门|293万|单价77843元/平米
东城|安定门|东城去 总价低 税费低 采光好 视野佳 临公园和地铁 |安德路47号院| | 1室1厅 | 36.7平米 | 东 西 | 简装|高楼层(共6层)  1990年建板楼  -  |安定门|260万|单价70845元/平米
东城|安定门|安馨园  分司厅划片 两室两厅 南北通透 二环内 商品房|安馨园| | 2室2厅 | 139.78平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |安定门|1300万|单价93004元/平米
东城|安定门|满五唯一 全南两居室 高楼层采光好 分司厅学区划片|中绦胡同甲2号院| | 2室1厅 | 54.56平米 | 南 | 简装|高楼层(共6层)  1985年建板楼  -  |安定门|480万|单价87977元/平米
东城|安定门|稀缺全南两居，中间楼层无遮挡，30%名额直升171中学|西营房| | 2室1厅 | 98.56平米 | 南 | 精装|中楼层(共19层)  2006年建塔楼  -  |安定门|730万|单价74067元/平米
东城|安定门|安定门 郎家胡同全明格局南北向三居 邻近地铁|朗家胡同24号院| | 3室1厅 | 61.69平米 | 南 北 | 精装|高楼层(共6层)  1982年建板楼  -  |安定门|498万|单价80727元/平米
东城|安定门|西营房 05年小区 精装一居 采光好 税费低 诚心卖|西营房| | 1室1厅 | 54.73平米 | 西 | 精装|低楼层(共16层)  2006年建塔楼  -  |安定门|370万|单价67605元/平米
东城|安定门|和平里四小学区房 紧邻地铁 地坛公园|安外东河沿| | 1室1厅 | 39.97平米 | 东 南 | 其他|高楼层(共20层)  1982年建塔楼  -  |安定门|385万|单价96323元/平米
东城|安定门|东城落户朝南一居室   中高楼层 视野好 采光棒|安德路47号院| | 1室1厅 | 47.53平米 | 南 | 简装|高楼层(共6层)  1994年建板楼  -  |安定门|355万|单价74690元/平米
东城|安定门|东城学区，南北通透，明厅，精装修，满五年唯一|安外大街3号院| | 2室1厅 | 55.2平米 | 南 西 北 | 精装|高楼层(共6层)  1988年建板楼  -  |安定门|408万|单价73914元/平米
东城|安定门|凯景铭座 西南向 精装2居室 直观柳荫公园全景 |凯景铭座| | 2室2厅 | 137.39平米 | 西 南 | 精装|高楼层(共19层)  2001年建塔楼  -  |安定门|880万|单价64052元/平米
东城|安定门|北二环大两居 朝南大客厅 采光好 满五年唯一 |巷上嘉园| | 2室2厅 | 126.87平米 | 南 | 精装|中楼层(共24层)  2005年建板塔结合  -  |安定门|1080万|单价85127元/平米
东城|安定门|安外东河沿 带厅南向两居室 电梯房 近公园 四小学区|安外东河沿| | 2室1厅 | 59.68平米 | 南 北 | 简装|低楼层(共16层)  1994年建塔楼  -  |安定门|538万|单价90148元/平米
东城|安定门|和平里四小学区  正南大一居 落户首选！|安外东河沿| | 1室1厅 | 50.19平米 | 南 北 | 简装|低楼层(共7层)  1993年建板楼  -  |安定门|430万|单价85675元/平米
东城|安定门|北二环外，双南双阳台大两居，免税房源，学区房。|青年湖东里| | 2室1厅 | 61.76平米 | 南 | 简装|高楼层(共6层)  1988年建板楼  -  |安定门|440万|单价71244元/平米
东城|安定门|北二环 高层观景大两居室 采光好 视野棒。|巷上嘉园| | 2室1厅 | 103.37平米 | 西 南 | 精装|高楼层(共24层)  2005年建板塔结合  -  |安定门|870万|单价84164元/平米
东城|安定门|北2环边上       安定门地铁站         南北向三居室|青年湖北里| | 3室1厅 | 69.44平米 | 南 北 | 简装|高楼层(共6层)  1988年建板楼  -  |安定门|529万|单价76181元/平米
东城|安定门|繁华的 外馆斜街 凯景铭座 观景4居复式房出售|凯景铭座| | 4室1厅 | 178.01平米 | 西 北 | 其他|高楼层(共19层)  2001年建塔楼  -  |安定门|1200万|单价67412元/平米
东城|安定门|安定门上龙嘉园，南北通透3居，两梯两户，满五年唯一|上龙嘉园| | 3室1厅 | 168.55平米 | 南 北 | 简装|低楼层(共14层)  1998年建板塔结合  -  |安定门|1260万|单价74756元/平米
东城|安定门|方家直升五中分南北通透两居室03年房子紧邻地铁2号线|永康胡同1号院| | 2室1厅 | 67.36平米 | 南 北 | 简装|中楼层(共7层)  2002年建板楼  -  |安定门|700万|单价103920元/平米
东城|安定门|东城 西营房 05年小区 满五唯一 精装修  全明三居|西营房| | 3室1厅 | 102.88平米 | 东北 | 其他|中楼层(共16层)  2006年建塔楼  -  |安定门|730万|单价70957元/平米
东城|安定门|青年湖西里 南北通透 全明格局 满五唯一|青年湖西里| | 3室1厅 | 80平米 | 南 北 | 简装|高楼层(共5层)  1985年建板楼  -  |安定门|640万|单价80000元/平米
东城|安定门|分司厅划片 花园胡同 南北通透 三居室  诚意出售 |花园胡同8号院| | 3室0厅 | 63.14平米 | 南 北 | 简装|高楼层(共6层)  1985年建板楼  -  |安定门|515万|单价81565元/平米
东城|安定门|临近北二环 临近地铁 南北朝向两居 税费低|中景濠庭| | 2室2厅 | 121平米 | 南 北 | 其他|中楼层(共22层)  2001年建塔楼  -  |安定门|930万|单价76860元/平米
东城|安定门|高端社区  平层豪宅  电梯入户  南北通透|中轴国际| | 5室3厅 | 490.5平米 | 南 北 | 精装|中楼层(共21层)  2005年建板楼  -  |安定门|4000万|单价81550元/平米
东城|安定门|方家小学划片 官书院两居 精装修  满五唯一 邻地铁|官书院| | 2室1厅 | 111.8平米 | 东 西 | 精装|高楼层(共6层)  2002年建板楼  -  |安定门|1050万|单价93918元/平米
东城|安定门|方家胡同 安定门 房本满五年唯一|永康胡同5号院| | 3室1厅 | 69.58平米 | 南 北 | 精装|高楼层(共6层)  1982年建板楼  -  |安定门|700万|单价100604元/平米
东城|安定门|高层观景采光好，对口直升171中学，近地铁站临公园|西营房| | 1室1厅 | 56平米 | 东 | 精装|高楼层(共19层)  2006年建塔楼  -  |安定门|389万|单价69465元/平米
东城|安定门|青年湖东里 低楼层 南北向 公房两居室 三大公园环绕|青年湖东里| | 2室1厅 | 63平米 | 南 北 | 精装|中楼层(共6层)  1994年建板楼  -  |安定门|465万|单价73810元/平米
东城|安定门|中轴龙脉，高档社区，带落地大飘窗，高层观护城河|中轴国际| | 4室2厅 | 490平米 | 南 北 | 精装|高楼层(共21层)  2005年建板楼  -  |安定门|4600万|单价93878元/平米
