丰台|北大地|部队大院军民园复式三居  满五唯一  紧邻地铁  环境好|军民园| | 3室1厅 | 141.68平米 | 东 南 | 其他|中楼层(共16层)  2004年建塔楼  -  |北大地|620万|单价43761元/平米
丰台|北大地|西幸福街 丰台一小学区房 交通方便|西幸福街| | 2室1厅 | 58平米 | 东 西 | 精装|高楼层(共6层)  1988年建板楼  -  |北大地|248万|单价42759元/平米
丰台|北大地|福顺里小区，正规两居室，满五年唯一住房！|福顺里| | 2室1厅 | 81.73平米 | 东 西 | 简装|低楼层(共18层)  2002年建板塔结合  -  |北大地|315万|单价38542元/平米
丰台|北大地|全南向的两居室，满五年唯一，中间层|正阳小区| | 2室1厅 | 74.54平米 | 南 | 简装|中楼层(共19层)  2001年建塔楼  -  |北大地|360万|单价48297元/平米
丰台|北大地|同盛里 三居室 低楼层 板楼公摊小|同盛里| | 3室1厅 | 84.79平米 | 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |北大地|400万|单价47176元/平米
丰台|北大地|前泥洼经典两居室  商品房满5年唯一  地铁房 |前泥洼小区| | 2室1厅 | 89.65平米 | 南 北 | 精装|高楼层(共6层)  1992年建板楼  -  |北大地|360万|单价40157元/平米
丰台|北大地|东安街头条  全明格局 南北通透三居 |东安街头条| | 3室1厅 | 84.56平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |北大地|360万|单价42574元/平米
丰台|北大地|福顺里，正规一居室，诚心出售，楼层低|福顺里| | 1室1厅 | 50.17平米 | 东南 | 简装|低楼层(共20层)  1999年建塔楼  -  |北大地|220万|单价43851元/平米
丰台|北大地|福顺里 两居室 东西向 满五年唯一 中间楼层|福顺里| | 2室1厅 | 81.73平米 | 东 西 | 简装|高楼层(共18层)  2002年建板塔结合  -  |北大地|320万|单价39154元/平米
丰台|北大地|可落户，上三小，出门地铁10号线，满五唯一税费低|前泥洼小区| | 2室1厅 | 80平米 | 南 | 其他|高楼层(共6层)    -  |北大地|320万|单价40000元/平米
丰台|北大地|全南向两居室 03年 楼龄新 小区成熟|正阳小区| | 2室1厅 | 88平米 | 南 | 简装|中楼层(共22层)  2004年建塔楼  -  |北大地|360万|单价40910元/平米
丰台|北大地|正阳小区 东向两室一厅 ，楼层低|正阳小区| | 2室1厅 | 80.27平米 | 东 南 | 简装|低楼层(共22层)  2004年建塔楼  -  |北大地|320万|单价39866元/平米
