亦庄开发区|大兴其它|旧宫镇 上林苑 南北通透 三居室 快速公交一号线 |上林苑| | 3室1厅 | 126.38平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |大兴其它|350万|单价27695元/平米
亦庄开发区|大兴其它|上林苑6层双卫有同等面积露台南北两居|上林苑| | 2室2厅 | 107.09平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |大兴其它|305万|单价28481元/平米
亦庄开发区|大兴其它|满五年唯一高楼层两居室，随时签约|福苑小区| | 2室1厅 | 65.53平米 | 东 西 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|169万|单价25790元/平米
亦庄开发区|大兴其它|独墅逸致 独栋别墅 中式古典风格 古香古色|独墅逸致| | 4室2厅 | 206平米 | 东 南 西 北 | 精装|低楼层(共2层)    -  |大兴其它|1050万|单价50971元/平米
亦庄开发区|大兴其它|满五唯一  单价低  业主诚售 看房方便|福苑小区| | 3室2厅 | 124.66平米 | 南 北 | 简装|高楼层(共7层)  2002年建板楼  -  |大兴其它|260万|单价20857元/平米
亦庄开发区|大兴其它|二期独栋别墅 方正大花园700平米|独墅逸致| | 4室2厅 | 240平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|1000万|单价41667元/平米
亦庄开发区|大兴其它|上林苑 带花园  双卫生间 南北通透 改善养老首选|上林苑| | 2室2厅 | 107.09平米 | 南 北 | 简装|低楼层(共6层)  2001年建板楼  -  |大兴其它|420万|单价39220元/平米
亦庄开发区|大兴其它|福苑高楼层两居室满五年唯一，诚心出售|福苑小区| | 2室1厅 | 74.58平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|195万|单价26147元/平米
亦庄开发区|大兴其它|独栋别墅 一期 豪华装修 花园400平米|独墅逸致| | 4室2厅 | 225.67平米 | 南 北 | 精装|低楼层(共3层)  2003年建  -  |大兴其它|780万|单价34564元/平米
亦庄开发区|大兴其它|富力童话时光别墅出售，上下三层带花园|富力童话时光| | 5室2厅 | 262.22平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|580万|单价22119元/平米
亦庄开发区|大兴其它|福苑西区粉色楼满五年唯一精装复式房|福苑小区| | 4室2厅 | 148.06平米 | 南 北 | 精装|高楼层(共7层)  2002年建板楼  -  |大兴其它|300万|单价20263元/平米
亦庄开发区|大兴其它|龙熙顺景  南北通透 联排别墅 豪华装修|龙熙顺景| | 5室3厅 | 280.84平米 | 南 北 | 精装|地下室(共2层)    -  |大兴其它|850万|单价30267元/平米
亦庄开发区|大兴其它|独墅逸致 高端别墅  豪华精装修|独墅逸致| | 5室2厅 | 238.5平米 | 南 北 | 精装|低楼层(共2层)  2003年建  -  |大兴其它|800万|单价33543元/平米
亦庄开发区|大兴其它|龙熙顺景别墅区复试，精装可拎包入住|龙熙顺景| | 4室2厅 | 211平米 | 东 南 西 北 | 精装|中楼层(共12层)  2004年建  -  |大兴其它|420万|单价19906元/平米
亦庄开发区|大兴其它|福苑小区大四居，楼王位置、楼王户型、满五唯一|福苑小区| | 4室1厅 | 121.53平米 | 南 北 | 简装|低楼层(共6层)  1999年建板楼  -  |大兴其它|285万|单价23451元/平米
亦庄开发区|大兴其它|福苑小区东区 首层南北大三居 简单装修 满五唯一|福苑小区| | 3室1厅 | 106平米 | 南 北 | 简装|低楼层(共5层)  1999年建板楼  -  |大兴其它|245万|单价23114元/平米
亦庄开发区|大兴其它|双卧朝南带大阳台  格局方正  客厅带窗|福苑小区| | 3室2厅 | 137平米 | 南 北 | 精装|中楼层(共7层)  2002年建板楼  -  |大兴其它|298万|单价21752元/平米
亦庄开发区|大兴其它|福苑大两居室次顶层满五年唯一，随时签约|福苑小区| | 2室1厅 | 87.2平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |大兴其它|205万|单价23510元/平米
亦庄开发区|大兴其它|富力丹麦小镇 低楼层纯南三居室 业主诚心出售 环境好|富力丹麦小镇| | 3室2厅 | 114平米 | 南 | 精装|低楼层(共12层)  2011年建板楼  -  |大兴其它|275万|单价24123元/平米
亦庄开发区|大兴其它|龙溪顺景 南北三居 满五唯一  户型好 |龙熙顺景| | 2室2厅 | 112.95平米 | 东南 | 简装|低楼层(共12层)  2004年建  -  |大兴其它|220万|单价19478元/平米
