大兴|长阳|原香小镇 南北通透两居 全明格局 满五唯一 随时签约|原香小镇一区| | 2室1厅 | 88平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |长阳|238万|单价27046元/平米
大兴|长阳|加州水郡 南北通透大三居 满五年唯一 免税 有钥匙|加州水郡三期| | 3室2厅 | 135.88平米 | 南 北 | 精装|低楼层(共12层)  2009年建板塔结合  -  |长阳|305万|单价22447元/平米
大兴|长阳|原香小镇 稀缺豪装下跃 满五唯一 |原香小镇二区| | 4室3厅 | 90平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|360万|单价40000元/平米
大兴|长阳|碧桂园二区   南北通透   精装三居|碧桂园小区二区| | 3室2厅 | 110.46平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |长阳|216万|单价19555元/平米
大兴|长阳|碧桂园一区  南北通透 满五唯一|碧桂园小区A区| | 2室1厅 | 90.22平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |长阳|190万|单价21060元/平米
大兴|长阳|碧桂园一期   南北通透    顶层复式|碧桂园小区A区| | 3室2厅 | 142平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |长阳|225万|单价15846元/平米
大兴|长阳|碧桂园小区，南北大三居，满五唯一，临地铁篱笆房站|碧桂园小区A区| | 3室2厅 | 119平米 | 南 北 | 简装|中楼层(共6层)  2003年建板楼  -  |长阳|240万|单价20169元/平米
大兴|长阳|原香小镇二区 南北通透三居室 豪华装修 拎包入住；|原香小镇二区| | 3室2厅 | 130平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|375万|单价28847元/平米
大兴|长阳|满两年，一梯两户，南北通透。有钥匙|长阳半岛2号院| | 3室1厅 | 94.55平米 | 南 北 | 精装|中楼层(共9层)  2012年建板楼  -  |长阳|370万|单价39133元/平米
大兴|长阳|满五唯一低楼层 看房方便户型好|碧桂园小区A区| | 3室1厅 | 119平米 | 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |长阳|240万|单价20169元/平米
大兴|长阳|九洲溪雅苑二区 2室1厅 220万|九洲溪雅苑二区| | 2室1厅 | 93.93平米 | 南 | 简装|中楼层(共15层)  2009年建板塔结合  -  |长阳|220万|单价23422元/平米
大兴|长阳|加州别墅满五唯一  精装修  南花园|加州水郡二期| | 4室2厅 | 285.66平米 | 南 北 | 精装|地下室(共3层)  2007年建  -  |长阳|980万|单价34307元/平米
大兴|长阳|可以上长阳北京小学北京四中，业主诚心出售精装小三居|徜徉嘉园5号院| | 3室1厅 | 98平米 | 南 北 | 精装|低楼层(共8层)  板楼  -  |长阳|340万|单价34694元/平米
大兴|长阳|碧桂园 满五唯一 精装修 实木家具 楼层好|碧桂园小区A区| | 2室1厅 | 90.2平米 | 南 北 | 简装|中楼层(共6层)  2001年建板楼  -  |长阳|240万|单价26608元/平米
大兴|长阳|碧桂园一层带下跃   精装修四室两厅两卫|碧桂园小区C区| | 4室2厅 | 116平米 | 南 北 | 精装|低楼层(共9层)  2006年建板楼  -  |长阳|288万|单价24828元/平米
大兴|长阳|加州水郡一期 4室2厅 1300万|加州水郡一期| | 4室2厅 | 298平米 | 东 南 西 北 | 精装|低楼层(共4层)  2007年建  -  |长阳|1300万|单价43625元/平米
大兴|长阳|满五唯一 客厅和两个卧室朝南 独立餐厅朝西 可改三居|加州水郡三期| | 2室2厅 | 114平米 | 西南 | 精装|中楼层(共12层)  2009年建板塔结合  -  |长阳|270万|单价23685元/平米
大兴|长阳|碧桂园南北三居双卫满五年唯一中间层毛坯|碧桂园小区A区| | 3室1厅 | 119平米 | 南 北 | 毛坯|中楼层(共6层)  2003年建板楼  -  |长阳|243万|单价20421元/平米
大兴|长阳|碧桂园3期   满5年唯一住房  客厅朝南|碧桂园小区C区| | 2室2厅 | 92.1平米 | 南 北 | 精装|高楼层(共11层)  2006年建板楼  -  |长阳|226万|单价24539元/平米
大兴|长阳|加州水郡三期，精装三居，全明户型，满五唯一|加州水郡三期| | 3室2厅 | 131.26平米 | 南 西 | 精装|中楼层(共14层)  2009年建板塔结合  -  |长阳|308万|单价23465元/平米
大兴|长阳|溪雅苑二区，南北两居，精装修，满五唯一|九洲溪雅苑二区| | 2室2厅 | 104.91平米 | 南 北 | 精装|中楼层(共14层)  2009年建板塔结合  -  |长阳|245万|单价23354元/平米
大兴|长阳|九洲溪雅苑一区正规大三居诚心卖满五年唯一有钥匙随时|九洲溪雅苑一区| | 3室1厅 | 133平米 | 南 北 | 毛坯|低楼层(共14层)  2009年建板塔结合  -  |长阳|330万|单价24813元/平米
大兴|长阳|长阳国际城 一区 119平精装大三居 改善首选|馨然嘉园一区| | 3室2厅 | 120平米 | 南 北 | 精装|高楼层(共20层)  2012年建板塔结合  -  |长阳|375万|单价31250元/平米
大兴|长阳|长龙苑满五唯一南北通透两居室随时可签约|长龙苑小区| | 2室2厅 | 88.64平米 | 南 北 | 精装|低楼层(共6层)  1999年建板楼  -  |长阳|185万|单价20871元/平米
大兴|长阳|加州水郡一梯一户大三居 满五唯一 紧邻花园水系|加州水郡三期| | 3室2厅 | 147.46平米 | 东 南 北 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|295万|单价20006元/平米
大兴|长阳|满五年，多层楼，不错的选择， ！|长龙苑小区| | 2室1厅 | 77.18平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |长阳|165万|单价21379元/平米
大兴|长阳|碧桂园三期满五唯一大两居 东南向学区房 次顶层观景房|碧桂园小区C区| | 2室2厅 | 119平米 | 南 | 精装|高楼层(共16层)  2007年建板塔结合  -  |长阳|246万|单价20673元/平米
