房山|城关|此房满5唯一，免征个人所得税，免征营业税|北关东路| | 3室1厅 | 68平米 | 南 北 | 其他|中楼层(共6层)    -  |城关|130万|单价19118元/平米
房山|城关|永安家园 2室1厅 135万|永安家园| | 2室1厅 | 87.33平米 | 南 北 | 精装|低楼层(共6层)  2007年建板楼  -  |城关|135万|单价15459元/平米
房山|城关|北关大街 2室1厅 86万|北关大街| | 2室1厅 | 58.15平米 | 东 西 | 其他|中楼层(共6层)    -  |城关|86万|单价14790元/平米
房山|城关|满五年唯一，复式结构，一直自住，南北通透|农林路| | 3室1厅 | 114.73平米 | 东 西 | 精装|高楼层(共6层)    -  |城关|115万|单价10024元/平米
房山|城关|位置好，户型好，税费无，交通便利|仓房小区| | 2室0厅 | 80平米 | 南 北 | 简装|高楼层(共6层)    -  |城关|110万|单价13750元/平米
房山|城关|购物交通方便 房山中心位置，闹中取静|营房小区| | 2室1厅 | 87平米 | 南 北 | 简装|中楼层(共6层)    -  |城关|126万|单价14483元/平米
房山|城关|永安家园 2室1厅 127万|永安家园| | 2室1厅 | 91.37平米 | 东 西 | 精装|中楼层(共6层)  2007年建板楼  -  |城关|127万|单价13900元/平米
房山|城关|万宁小区 2室1厅 125万|万宁小区| | 2室1厅 | 81.29平米 | 南 北 | 其他|高楼层(共6层)  板楼  -  |城关|125万|单价15378元/平米
房山|城关|中冶蓝城南北通透小三居 诚心出售|中冶蓝城| | 3室1厅 | 95平米 | 南 北 | 毛坯|高楼层(共16层)  2014年建板楼  -  |城关|166万|单价17474元/平米
房山|城关|兴房大街12号院 3室1厅 100万|兴房大街12号院| | 3室1厅 | 72.78平米 | 南 北 | 简装|低楼层(共4层)    -  |城关|100万|单价13741元/平米
房山|城关|永安西里北区 2室1厅 98万|永安西里北区| | 2室1厅 | 58.19平米 | 南 北 | 其他|中楼层(共6层)    -  |城关|98万|单价16842元/平米
房山|城关|永安家园 2室2厅 125万|永安家园| | 2室2厅 | 101平米 | 南 北 | 其他|高楼层(共6层)  2007年建板楼  -  |城关|125万|单价12377元/平米
房山|城关|九洲兴达家园A区 2室1厅 150万|九洲兴达家园A区| | 2室1厅 | 99平米 | 东南 | 其他|低楼层(共6层)  2003年建板楼  -  |城关|150万|单价15152元/平米
房山|城关|高楼层 采光好南北通透 精装修三居室|中冶蓝城| | 3室1厅 | 89平米 | 南 北 | 精装|高楼层(共15层)  2014年建板楼  -  |城关|180万|单价20225元/平米
房山|城关|房山城关 中冶蓝城 低价两居 靠谱出售|中冶蓝城| | 2室1厅 | 90平米 | 南 西 | 毛坯|低楼层(共12层)  2014年建板楼  -  |城关|166万|单价18445元/平米
房山|城关|原香漫谷 4室2厅 292万|原香漫谷| | 4室2厅 | 177平米 | 南 | 其他|低楼层(共20层)  2015年建板楼  -  |城关|292万|单价16498元/平米
房山|城关|良工佳苑 3室1厅 149万|良工佳苑| | 3室1厅 | 119平米 | 南 | 其他|高楼层(共5层)  2006年建板楼  -  |城关|149万|单价12522元/平米
房山|城关|北关东路 1室1厅 83万|北关东路| | 1室1厅 | 36平米 | 南 | 其他|高楼层(共6层)    -  |城关|83万|单价23056元/平米
房山|城关|山水家园 3室1厅 130万|山水家园| | 3室1厅 | 125平米 | 南 北 | 其他|中楼层(共6层)    -  |城关|130万|单价10400元/平米
房山|城关|仓房小区 2室1厅 125万|仓房小区| | 2室1厅 | 70平米 | 南 北 | 其他|低楼层(共3层)  板楼  -  |城关|125万|单价17858元/平米
房山|城关|原香漫谷 2室1厅 163万|原香漫谷| | 2室1厅 | 94.5平米 | 北 南 | 精装|高楼层(共12层)  2015年建板楼  -  |城关|163万|单价17249元/平米
房山|城关|中冶蓝城  明厨明卫 小三居 看方便 楼位置好|中冶蓝城| | 3室1厅 | 89平米 | 南 北 | 毛坯|低楼层(共15层)  2014年建板楼  -  |城关|160万|单价17978元/平米
房山|城关|中冶蓝城 正规三居室 南北通透 电梯房|中冶蓝城| | 3室1厅 | 99平米 | 南 北 | 其他|中楼层(共15层)  2014年建板楼  -  |城关|200万|单价20203元/平米
房山|城关|永安家园 3室1厅 160万|永安家园| | 3室1厅 | 124平米 | 南 北 | 其他|高楼层(共6层)  2007年建板楼  -  |城关|160万|单价12904元/平米
房山|城关|永兴家园 2室1厅 155万|永兴家园| | 2室1厅 | 92平米 | 南 北 | 精装|中楼层(共6层)  2011年建  -  |城关|155万|单价16848元/平米
房山|城关|九洲兴达家园A区 1室1厅 130万|九洲兴达家园A区| | 1室1厅 | 100平米 | 东南 | 其他|低楼层(共6层)  2003年建板楼  -  |城关|130万|单价13000元/平米
房山|城关|九洲兴达家园B区 2室1厅 125万|九洲兴达家园B区| | 2室1厅 | 90.56平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |城关|125万|单价13804元/平米
房山|长阳|原香小镇 南北通透两居 全明格局 满五唯一 随时签约|原香小镇一区| | 2室1厅 | 88平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |长阳|238万|单价27046元/平米
房山|长阳|加州水郡 南北通透大三居 满五年唯一 免税 有钥匙|加州水郡三期| | 3室2厅 | 135.88平米 | 南 北 | 精装|低楼层(共12层)  2009年建板塔结合  -  |长阳|305万|单价22447元/平米
房山|长阳|原香小镇 稀缺豪装下跃 满五唯一 |原香小镇二区| | 4室3厅 | 90平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|360万|单价40000元/平米
房山|长阳|碧桂园二区   南北通透   精装三居|碧桂园小区二区| | 3室2厅 | 110.46平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |长阳|216万|单价19555元/平米
房山|长阳|碧桂园一区  南北通透 满五唯一|碧桂园小区A区| | 2室1厅 | 90.22平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |长阳|190万|单价21060元/平米
