昌平|安宁庄|阳光北里 免税 海淀实验二小学 楼龄新 靠谱签约|阳光北里| | 3室1厅 | 85.5平米 | 西 南 | 简装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|450万|单价52632元/平米
昌平|安宁庄|海淀实验二小 板楼三层 南北双阳台 免税诚售 随时可看|安宁里南区| | 2室1厅 | 73平米 | 南 北 | 简装|中楼层(共7层)  1999年建板楼  -  |安宁庄|400万|单价54795元/平米
昌平|安宁庄|清上园二期正规板楼一居室，全明格局，黄金楼层|清上园| | 1室1厅 | 60.31平米 | 东 | 简装|中楼层(共11层)  2005年建板塔结合  -  |安宁庄|382万|单价63340元/平米
昌平|安宁庄|清上园纯南两居室，免税，诚心出售，看房子方便|清上园| | 2室1厅 | 101.09平米 | 南 西 | 简装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|545万|单价53913元/平米
昌平|安宁庄|清上园一层带花园带半地下的板楼三居室|清上园| | 3室2厅 | 104.67平米 | 南 北 | 其他|低楼层(共6层)  2004年建板楼  -  |安宁庄|780万|单价74520元/平米
昌平|安宁庄|清上园东南北大三居 满五唯一 诚意出售|清上园| | 3室2厅 | 128.46平米 | 东 南 北 | 简装|中楼层(共15层)  2003年建板塔结合  -  |安宁庄|670万|单价52157元/平米
昌平|安宁庄|清上园二期西南北通透 一梯两户 全明格局看房方便|清上园| | 2室1厅 | 91.78平米 | 南 西 北 | 精装|高楼层(共9层)  2005年建板塔结合  -  |安宁庄|525万|单价57203元/平米
昌平|安宁庄|海淀实验二小 免税 留钥匙了 可组合贷款 可改三居室|毛纺住宅北小区| | 2室1厅 | 81.3平米 | 东 西 | 简装|低楼层(共14层)  1997年建板楼  -  |安宁庄|435万|单价53506元/平米
昌平|安宁庄|龙兴园南区    中间楼层   大三居   随时看房|龙兴园南区| | 3室2厅 | 136.89平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |安宁庄|470万|单价34335元/平米
昌平|安宁庄|清上园二期正规大两居，黄金楼层，诚心出售|清上园| | 2室2厅 | 108.25平米 | 南 西 | 精装|中楼层(共11层)  2003年建板塔结合  -  |安宁庄|610万|单价56352元/平米
昌平|安宁庄|2007年成熟社区，中间层，全明格局，业主诚售看房随时|安宁佳园| | 2室1厅 | 77.93平米 | 西南 | 精装|高楼层(共18层)  2007年建塔楼  -  |安宁庄|445万|单价57103元/平米
昌平|安宁庄|满五年且唯一  精装修一居改二居 海淀实验二小学区房|清上园| | 1室1厅 | 71.48平米 | 西 北 | 精装|高楼层(共19层)  2002年建板塔结合  -  |安宁庄|340万|单价47566元/平米
昌平|安宁庄|安宁里优质复式、四卧朝南、带车位、免税诚心出售|安宁里南区| | 4室1厅 | 116.24平米 | 南 北 | 精装|高楼层(共7层)  1999年建板楼  -  |安宁庄|500万|单价43015元/平米
昌平|安宁庄|海淀实验二小三居室 满5年唯一 看房随时 诚心出售  |安宁里| | 3室1厅 | 76.49平米 | 南 北 | 精装|高楼层(共6层)  1992年建板楼  -  |安宁庄|395万|单价51641元/平米
昌平|安宁庄|清上园一期东北朝向三居室 满五唯一 看房方便|清上园| | 3室2厅 | 132平米 | 东 南 北 | 精装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|650万|单价49243元/平米
昌平|安宁庄|清河阳光北里正规两居室 免税房源 可接受组合贷换房|阳光北里| | 2室1厅 | 74.2平米 | 东南 | 简装|低楼层(共18层)  1999年建塔楼  -  |安宁庄|400万|单价53909元/平米
昌平|安宁庄|龙兴园南区 南北两居 黄金楼层|龙兴园南区| | 2室2厅 | 84.32平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |安宁庄|350万|单价41509元/平米
