石景山|八角|八角北路 正规两室一厅 满5年唯一 随时看|八角北路| | 2室1厅 | 65.22平米 | 南 西 | 精装|高楼层(共6层)  1987年建塔楼  -  |八角|200万|单价30666元/平米
石景山|八角|一号线地铁旁八角中里，两居室，看房随时有钥匙|八角中里| | 2室1厅 | 59.6平米 | 西 南 | 简装|高楼层(共6层)  1987年建板楼  -  |八角|205万|单价34396元/平米
石景山|八角|八角北路 孔雀门三居 南北通透 免税 近地铁 采光好|八角北路| | 3室1厅 | 69平米 | 南 北 | 简装|高楼层(共6层)  1983年建板楼  -  |八角|248万|单价35943元/平米
石景山|八角|西引力精装一居室，超值在售，随时看房|西引力| | 1室1厅 | 53.4平米 | 东 | 精装|高楼层(共18层)  2005年建板塔结合  -  |八角|240万|单价44944元/平米
石景山|八角|八角南里 南北向有客厅 紧邻古城地铁 满五年唯一|八角南里| | 2室1厅 | 58.19平米 | 南 北 | 精装|高楼层(共7层)  1995年建板楼  -  |八角|242万|单价41588元/平米
石景山|八角|八角北路  南北通透好户型  可改三  |八角北路| | 2室1厅 | 60平米 | 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |八角|215万|单价35834元/平米
石景山|八角|八角北路 中间楼层阳光2居 精装 拎包入住|八角北路| | 2室1厅 | 51平米 | 南 | 精装|中楼层(共6层)  1983年建板楼  -  |八角|185万|单价36275元/平米
石景山|八角|一号线地铁旁八角中里 全明格局 南北通透  采光好|八角中里| | 2室1厅 | 58.59平米 | 南 北 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|205万|单价34989元/平米
石景山|八角|八角中里 西南向钢混两居 随时看房 |八角中里| | 2室1厅 | 73平米 | 南 | 其他|高楼层(共19层)  1985年建塔楼  -  |八角|235万|单价32192元/平米
石景山|八角|八角南里 2室1厅 243万|八角南里| | 2室1厅 | 58.19平米 | 南 北 | 精装|高楼层(共7层)  1995年建板楼  -  |八角|243万|单价41760元/平米
石景山|八角|八角北路 经典小三居室 全明格局 看房方便 满5年唯一|八角北路| | 3室0厅 | 59.59平米 | 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |八角|200万|单价33563元/平米
石景山|八角|朝阳医院家属楼，三面采光，诚心出售|京原路5号院| | 3室2厅 | 80.12平米 | 东 南 西 | 精装|中楼层(共12层)  1999年建板塔结合  -  |八角|300万|单价37444元/平米
石景山|八角|八角北里 2室1厅 210万|八角北里| | 2室1厅 | 57.54平米 | 南 北 | 简装|高楼层(共6层)  1985年建板楼  -  |八角|210万|单价36497元/平米
石景山|八角|八角南里 南北向三居室 免税 拎包入住 |八角南里| | 3室1厅 | 90.07平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |八角|340万|单价37749元/平米
石景山|八角|八角南里社区 满五年且唯一住房 带电梯三居室|八角南里| | 3室1厅 | 110.9平米 | 东 北 | 简装|中楼层(共20层)  1999年建塔楼  -  |八角|420万|单价37872元/平米
石景山|八角|八角南路 中间楼层 近地铁 配套齐全|八角南路| | 2室1厅 | 53.72平米 | 南 北 | 毛坯|中楼层(共6层)  1981年建板楼  -  |八角|210万|单价39092元/平米
石景山|八角|经济适用三居 三室双卫 全明格局 视野好 毛坯房|融景城| | 3室2厅 | 117平米 | 南 北 | 毛坯|高楼层(共25层)  2012年建板塔结合  -  |八角|565万|单价48291元/平米
石景山|八角|八角南路 2室1厅 230万|八角南路| | 2室1厅 | 61.8平米 | 南 北 | 精装|高楼层(共6层)  1985年建板楼  -  |八角|230万|单价37217元/平米
石景山|八角|八角北路 精装修二改一 免税房 拎包入住 看房提前约|八角北路| | 1室1厅 | 52平米 | 南 北 | 精装|高楼层(共6层)  1984年建板楼  -  |八角|191万|单价36731元/平米
石景山|八角|西引力，一号线地铁沿线长安街南侧，南向大开间|西引力| | 1室1厅 | 50.44平米 | 南 | 简装|高楼层(共16层)  2005年建板塔结合  -  |八角|195万|单价38660元/平米
石景山|八角|八角北里 中间层 东西两居 小区环境好 停车位充足|八角北里| | 2室1厅 | 58.93平米 | 东 西 北 | 简装|中楼层(共6层)  1986年建板楼  -  |八角|225万|单价38181元/平米
石景山|八角|八角中里 1室1厅 184万|八角中里| | 1室1厅 | 48.61平米 | 东南 | 简装|中楼层(共19层)  1985年建塔楼  -  |八角|184万|单价37853元/平米
石景山|八角|八角北路公房社区二层南北通透两居室|八角北路| | 2室1厅 | 54平米 | 南 北 | 简装|低楼层(共6层)  1982年建板楼  -  |八角|190万|单价35186元/平米
石景山|八角|八角南里 正规两室一厅 满五唯一学区房|八角南里| | 2室1厅 | 79.29平米 | 东北 | 简装|高楼层(共20层)  1999年建塔楼  -  |八角|300万|单价37836元/平米
石景山|八角|八角中里 电梯房 光线足 视野开阔|八角中里| | 2室1厅 | 73平米 | 南 | 精装|高楼层(共19层)  1985年建塔楼  -  |八角|260万|单价35617元/平米
石景山|八角|八角北里 一层带自建三居室 满五唯一 随时看房|八角北里| | 3室1厅 | 63.2平米 | 南 北 | 毛坯|低楼层(共6层)  1986年建板楼  -  |八角|305万|单价48260元/平米
石景山|八角|八角北路孔雀门正规三居室满五年没有营业税|八角北路| | 2室1厅 | 68.41平米 | 南 北 | 其他|高楼层(共6层)  1983年建板楼  -  |八角|230万|单价33621元/平米
石景山|八角|八角北路免税一层养老房两居 南北通透 成熟社区采光好|八角北路| | 1室1厅 | 52.25平米 | 南 北 | 简装|低楼层(共6层)  1988年建板楼  -  |八角|200万|单价38278元/平米
石景山|八角|八角北路 两室一厅 南向两居室 带大阳台|八角北路| | 2室1厅 | 65平米 | 南 西 | 简装|高楼层(共6层)  1987年建塔楼  -  |八角|200万|单价30770元/平米
石景山|八角|八角北路 孔雀门南北通透2居 满五唯一 文明示范小区！|八角北路| | 2室1厅 | 53.83平米 | 南 北 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|181万|单价33625元/平米
石景山|八角|八角中里 带电梯 正规两居室 格局好 没有浪费面积|八角中里| | 2室1厅 | 60.77平米 | 东南 | 精装|高楼层(共19层)  1985年建塔楼  -  |八角|220万|单价36203元/平米
石景山|八角|八角南路 满五唯一 中间层 采光充足，交通便利|八角南路| | 2室1厅 | 66.4平米 | 东北 | 简装|中楼层(共16层)  1986年建塔楼  -  |八角|235万|单价35392元/平米
