西城|白纸坊|恬心家园，2004年商品房，电梯直达。|恬心家园| | 1室0厅 | 51.25平米 | 西 | 简装|中楼层(共18层)  2003年建板塔结合  -  |白纸坊|340万|单价66342元/平米
西城|白纸坊|西城区二环内 正规西南一居 带电梯  有钥匙随时能看|建功南里| | 1室1厅 | 49.48平米 | 西南 | 简装|低楼层(共16层)  1996年建塔楼  -  |白纸坊|340万|单价68715元/平米
西城|白纸坊|全南一居 满五唯一 婚房精装 中间楼层|建功北里| | 1室1厅 | 48.67平米 | 南 | 精装|中楼层(共6层)  1996年建板楼  -  |白纸坊|355万|单价72941元/平米
西城|白纸坊|新安北里 541央产房 南北三居室 黄金楼层 陶然亭地铁|新安北里| | 3室1厅 | 69.95平米 | 南 北 | 简装|中楼层(共6层)  1984年建板楼  -  |白纸坊|510万|单价72910元/平米
西城|白纸坊|央产房 建功北里 东南朝向 四居室  满五唯一|建功北里| | 4室2厅 | 169.33平米 | 东 南 | 简装|中楼层(共17层)  1999年建板塔结合  -  |白纸坊|920万|单价54332元/平米
西城|白纸坊|大户型 适合一家人住 单价低 360度观景的高层塔楼|天缘公寓| | 5室2厅 | 207.41平米 | 东 西 北 | 简装|中楼层(共28层)  1999年建塔楼  -  |白纸坊|930万|单价44839元/平米
西城|白纸坊|南运巷 东西三居 适合全家人居住|南运巷| | 3室1厅 | 75.61平米 | 东 西 北 | 精装|中楼层(共16层)  1989年建塔楼  -  |白纸坊|500万|单价66129元/平米
西城|白纸坊|541印钞厂央产 南北通透一层带小院 可改三居|新安北里| | 2室1厅 | 60平米 | 南 北 | 简装|低楼层(共6层)  1984年建板楼  -  |白纸坊|450万|单价75000元/平米
西城|白纸坊|西城区 二环内天缘公寓 70年大产权 民水民电				|天缘公寓| | 3室2厅 | 187平米 | 东 | 简装|低楼层(共28层)  1999年建塔楼  -  |白纸坊|800万|单价42781元/平米
西城|白纸坊|541央产 全南向两居 小区环境好 交通便利|新安北里| | 2室1厅 | 53.74平米 | 南 | 简装|高楼层(共6层)  1984年建板楼  -  |白纸坊|370万|单价68851元/平米
西城|白纸坊|西城区二环内 带电梯三居室 户型方正  交通便利|建功南里| | 3室2厅 | 117.04平米 | 东 西 北 | 精装|高楼层(共16层)  1996年建塔楼  -  |白纸坊|775万|单价66217元/平米
西城|白纸坊|地图出版社央产房 西南向两居室 楼层好 采光棒 |新安北里| | 2室1厅 | 50.66平米 | 西南 | 简装|中楼层(共6层)  1983年建板楼  -  |白纸坊|400万|单价78958元/平米
西城|白纸坊|水利部的央产房 满五唯一 东南朝向三居室，精装修。|建功北里| | 3室1厅 | 108.41平米 | 东南 | 精装|高楼层(共17层)  1999年建板塔结合  -  |白纸坊|640万|单价59036元/平米
西城|白纸坊|中华家园 南北通透 满五唯一 封闭管理 地下车位				|中华家园| | 3室2厅 | 244平米 | 南 北 | 精装|中楼层(共12层)  2002年建板塔结合  -  |白纸坊|1630万|单价66804元/平米
