通州|北关|精装南北两居 满五唯一 看房有钥匙 诚意售|富河园| | 2室1厅 | 70.1平米 | 南 北 | 精装|高楼层(共6层)  1995年建板楼  -  |北关|280万|单价39943元/平米
通州|北关|通州北关  地铁1.5公里 南北向 大两居  |西潞苑小区| | 2室1厅 | 96.71平米 | 南 北 | 毛坯|低楼层(共6层)  2003年建板楼  -  |北关|310万|单价32055元/平米
通州|北关|黄金楼层，满五年，楼龄新.南北通透.无抵押产权清晰|翠福园| | 2室2厅 | 93.28平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |北关|300万|单价32162元/平米
通州|北关|地铁6号线，经典两居好楼层，南北通透，随时看房|天赐良园西三期| | 2室1厅 | 86平米 | 南 北 | 简装|中楼层(共6层)  2003年建板楼  -  |北关|350万|单价40698元/平米
通州|北关|南北通透两居 北关地铁站 商业核心地段|富河园| | 2室1厅 | 70.1平米 | 东 南 北 | 简装|中楼层(共6层)  1995年建板楼  -  |北关|280万|单价39943元/平米
通州|北关|层高3米，不临街采光好，满5年唯一，南北通透|天赐良园二期| | 4室2厅 | 170平米 | 南 北 西 | 精装|高楼层(共6层)  2002年建板楼  -  |北关|495万|单价29118元/平米
通州|北关|满五唯一 楼层低 正规三居室 南北通透|富河园| | 2室1厅 | 84.44平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |北关|325万|单价38489元/平米
通州|北关|通州新城 北关核心区 天赐精装复式 户型方正免个税|天赐良园二期| | 3室3厅 | 160平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |北关|485万|单价30313元/平米
通州|北关|温榆河畔，送30平小院，送给父母的爱！免税！|西潞苑小区| | 1室2厅 | 78.56平米 | 北 南 | 简装|低楼层(共6层)  2004年建板楼  -  |北关|280万|单价35642元/平米
通州|北关|满五年唯一南北通透双卫大三居！|天赐良园二期| | 3室2厅 | 157.36平米 | 南 西 北 | 精装|高楼层(共6层)  2002年建板楼  -  |北关|485万|单价30822元/平米
通州|北关|通州北关西潞苑南北一居房主已经改两居满五年唯一免税|西潞苑小区| | 1室1厅 | 60.8平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |北关|240万|单价39474元/平米
通州|北关|北关富河园 满五唯一 地铁6号线 通州新城旁边|富河园| | 3室1厅 | 101.36平米 | 南 北 | 简装|高楼层(共6层)  1994年建板楼  -  |北关|360万|单价35517元/平米
通州|北关|西潞苑 免税大一居 精装婚房 拎包入住 全明户型|西潞苑小区| | 1室2厅 | 68.23平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |北关|220万|单价32244元/平米
通州|北关|南北通透全明格局带大于50平米前花园 后花园可做车库|翠福园| | 2室1厅 | 98.11平米 | 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |北关|325万|单价33127元/平米
通州|北关|通州新城富河园，南北通透，全明户型，随时看|富河园| | 4室1厅 | 136.51平米 | 东 西 | 精装|高楼层(共6层)  2002年建板楼  -  |北关|420万|单价30767元/平米
