门头沟|滨河西区|滨河承泽苑   满五唯一  黄金地段|承泽苑| | 3室1厅 | 96.88平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |滨河西区|292万|单价30141元/平米
门头沟|滨河西区|阜石路承泽苑 南北通透 满五唯一 低楼层|承泽苑| | 4室1厅 | 129.41平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |滨河西区|345万|单价26660元/平米
门头沟|滨河西区|霁月园东西朝向精装两居室满五唯一|霁月园| | 2室1厅 | 65.24平米 | 东 西 | 精装|高楼层(共6层)  2006年建板楼  -  |滨河西区|188万|单价28817元/平米
门头沟|滨河西区|南北通透       中等楼层     集中供暖|含晖苑| | 3室1厅 | 97.96平米 | 南 北 | 简装|中楼层(共6层)  2005年建板楼  -  |滨河西区|255万|单价26032元/平米
门头沟|滨河西区|倚山嘉园精装两居。户型方正 满五唯一|倚山嘉园| | 2室1厅 | 109.35平米 | 东 西 | 精装|中楼层(共13层)  2005年建板楼  -  |滨河西区|272万|单价24875元/平米
门头沟|滨河西区|北京人家南北通透6+7复式满五唯一	|德露苑| | 5室2厅 | 165平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|300万|单价18182元/平米
门头沟|滨河西区|霁月园东西通透两居室   精装修|霁月园| | 2室1厅 | 90平米 | 东 西 | 精装|高楼层(共16层)  2006年建板楼  -  |滨河西区|260万|单价28889元/平米
门头沟|滨河西区|阜石路边精装两居。满五唯一，看房方便|霁月园| | 2室1厅 | 87.96平米 | 南 西 | 精装|高楼层(共6层)  2006年建板楼  -  |滨河西区|250万|单价28423元/平米
门头沟|滨河西区|霁月园南向两居室   满五唯一    精装修|霁月园| | 2室2厅 | 85.69平米 | 南 | 精装|低楼层(共16层)  2006年建板楼  -  |滨河西区|255万|单价29759元/平米
门头沟|滨河西区|承泽苑  总层次  东西两居  满五唯一|承泽苑| | 2室1厅 | 84平米 | 东 西 | 精装|中楼层(共6层)  2000年建板楼  -  |滨河西区|190万|单价22620元/平米
门头沟|滨河西区|倚山嘉园 落地飘窗 满五唯一 看房方便|倚山嘉园| | 3室2厅 | 158.01平米 | 南 北 | 其他|高楼层(共6层)  2008年建板楼  -  |滨河西区|323万|单价20442元/平米
门头沟|滨河西区|霁月园两居室 带电梯 满五唯一 看房方便|霁月园| | 2室1厅 | 87平米 | 东 西 | 精装|高楼层(共16层)  2006年建板楼  -  |滨河西区|255万|单价29311元/平米
门头沟|滨河西区|承泽苑板楼中层次三居双卫  满五唯一  业主靠谱出售|承泽苑| | 3室1厅 | 102.13平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |滨河西区|309万|单价30256元/平米
门头沟|滨河西区|滨河绮霞苑南北通透两居温馨舒适 自带车位 满五年唯一|绮霞苑| | 2室1厅 | 92.24平米 | 南 北 | 精装|中楼层(共18层)  2003年建板楼  -  |滨河西区|317万|单价34367元/平米
门头沟|滨河西区|阜石路沿线 满五唯一 南向一居室|承泽苑| | 1室1厅 | 61.97平米 | 南 | 简装|高楼层(共6层)  2000年建板楼  -  |滨河西区|180万|单价29047元/平米
门头沟|滨河西区|倚山嘉园 南北通透 户型合理 楼层好|倚山嘉园| | 2室1厅 | 98.99平米 | 南 北 | 精装|低楼层(共6层)  2008年建板楼  -  |滨河西区|296万|单价29903元/平米
门头沟|滨河西区|德露苑低层次三居，三个卧室朝南，看房随时|德露苑| | 3室2厅 | 110平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |滨河西区|300万|单价27273元/平米
门头沟|滨河西区|倚山嘉园 南北通透 满五唯一 适宜改善养老|倚山嘉园| | 2室1厅 | 105平米 | 南 北 | 精装|低楼层(共14层)  2005年建板楼  -  |滨河西区|283万|单价26953元/平米
门头沟|滨河西区|滨河绮霞苑 满五唯一住房 精装两居室|绮霞苑| | 2室2厅 | 93.15平米 | 南 | 精装|高楼层(共15层)  2003年建板楼  -  |滨河西区|280万|单价30060元/平米
门头沟|滨河西区|阜石路 免税三居 黄金楼层 南北通透|含晖苑| | 3室1厅 | 96.8平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |滨河西区|300万|单价30992元/平米
门头沟|滨河西区|阜石路沿线 电梯两层复式结构 满五唯一|临镜苑| | 2室2厅 | 152.27平米 | 南 北 | 精装|中楼层(共18层)  2008年建板楼  -  |滨河西区|450万|单价29553元/平米
门头沟|滨河西区|滨河西区唯一一套带地下室的三居室|皓月园| | 3室1厅 | 168.16平米 | 南 北 | 其他|低楼层(共16层)  2006年建板塔结合  -  |滨河西区|402万|单价23906元/平米
门头沟|滨河西区|东西通透 户型合理 环境好 周边设施齐全|霁月园| | 2室1厅 | 92平米 | 东 西 | 精装|中楼层(共16层)  2006年建板楼  -  |滨河西区|270万|单价29348元/平米
