顺义|北七家|海德堡联排别墅  精装修拎包入住 前后花园区中心位置|海德堡花园| | 5室2厅 | 202.68平米 | 南 北 | 精装|低楼层(共4层)  1999年建  -  |北七家|695万|单价34291元/平米
顺义|北七家|王府大复式满五唯一单价1.8万|王府公寓三区| | 3室3厅 | 183.86平米 | 南 北 | 精装|中楼层(共5层)  1995年建  -  |北七家|330万|单价17949元/平米
顺义|北七家|温泉花园B区 低楼层三居室 业主诚意出售|温泉花园B区| | 3室2厅 | 142.18平米 | 南 北 | 精装|低楼层(共6层)  1999年建板楼  -  |北七家|275万|单价19342元/平米
顺义|北七家|望都家园满五唯一低楼层精装三居室 业主诚心出售|望都家园| | 3室2厅 | 127平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |北七家|370万|单价29134元/平米
顺义|北七家|南北正规一居室  免税  5层视野开阔|北亚花园| | 1室1厅 | 65.84平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|206万|单价31288元/平米
顺义|北七家|名佳四区南北通透两居，视野开阔无遮挡，中间层！|名佳花园四区| | 2室1厅 | 87.61平米 | 南 北 | 其他|中楼层(共6层)  2003年建板楼  -  |北七家|280万|单价31960元/平米
顺义|北七家|北七家 望都家园  满五唯一 有个50平的花园|望都家园| | 3室2厅 | 143平米 | 南 北 | 简装|低楼层(共6层)  2002年建板楼  -  |北七家|445万|单价31119元/平米
顺义|北七家|70年大产权商品房，满五年唯一，离地铁4站地|蓬莱公寓东区| | 3室2厅 | 140.2平米 | 南 北 | 精装|中楼层(共5层)  2001年建板楼  -  |北七家|305万|单价21755元/平米
顺义|北七家|温泉花园 满五唯一 3+4错层 精装修|温泉花园A区| | 3室1厅 | 165.29平米 | 南 北 | 精装|低楼层(共6层)  1997年建板楼  -  |北七家|350万|单价21175元/平米
顺义|北七家|科技城 桃园公寓 164平大4居 南北通透 精装修|桃园公寓| | 4室1厅 | 164平米 | 南 北 | 精装|高楼层(共7层)  1997年建板楼  -  |北七家|280万|单价17074元/平米
顺义|北七家|温泉花园，满五唯一，免增值税，个税；3居室；|温泉花园B区| | 3室2厅 | 101平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|242万|单价23961元/平米
顺义|北七家|临湖观景大三居、南北通透 黄金2层|西湖新村| | 3室2厅 | 119.13平米 | 南 北 | 精装|低楼层(共7层)  1996年建板楼  -  |北七家|305万|单价25603元/平米
顺义|北七家|6+7复式 双通透户型加一居室户型方正 |北亚花园| | 3室2厅 | 130.11平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |北七家|280万|单价21521元/平米
顺义|北七家|名佳花园 南北三居室 满五年唯一  看房随时|名佳花园| | 3室1厅 | 116.85平米 | 南 北 | 精装|中楼层(共7层)  2001年建板楼  -  |北七家|320万|单价27386元/平米
顺义|北七家|顶层带露台，简单装修，南北通透一居室，|名佳花园三区| | 1室1厅 | 68平米 | 南 北 | 简装|高楼层(共6层)  2004年建板楼  -  |北七家|218万|单价32059元/平米
顺义|北七家|温泉花园复式3居 商品房满五年唯一|温泉花园B区| | 3室2厅 | 144.69平米 | 南 北 | 毛坯|高楼层(共6层)  1999年建板楼  -  |北七家|210万|单价14514元/平米
顺义|北七家|名佳花园 南北通透三居室 二层看房方便|名佳花园| | 3室2厅 | 116.85平米 | 南 北 | 简装|低楼层(共7层)  2001年建板楼  -  |北七家|320万|单价27386元/平米
顺义|北七家|名流花园欧风苑 南北通透错层 客厅双卧室朝南 |名流花园| | 3室1厅 | 147平米 | 南 北 | 简装|中楼层(共6层)  1998年建板楼  -  |北七家|335万|单价22790元/平米
顺义|北七家|采光好，满五唯一，距离未来科技城3公里|温泉花园A区| | 2室1厅 | 62.45平米 | 南 | 简装|高楼层(共5层)  1992年建板楼  -  |北七家|190万|单价30425元/平米
顺义|北七家|温泉花园 满五年唯一  南北通透两居室|温泉花园B区| | 2室2厅 | 91.32平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|245万|单价26829元/平米
顺义|北七家|黄金四层 满五唯一 明厨明卫 业主急售|桃园公寓| | 3室2厅 | 143平米 | 东 西 | 精装|中楼层(共7层)  1997年建板楼  -  |北七家|254万|单价17763元/平米
顺义|北七家|免税房 送花园140平米 有阳光房 拎包即住|名流花园| | 3室1厅 | 134.75平米 | 东南 | 精装|低楼层(共6层)  1998年建板楼  -  |北七家|380万|单价28201元/平米
顺义|北七家|王府温馨公寓 南北通透大三居 户型方正 满五唯一|王府温馨公寓| | 3室2厅 | 123.09平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |北七家|280万|单价22748元/平米
顺义|北七家|名佳花园 南北通透 简装大三居|名佳花园| | 3室2厅 | 132平米 | 南 北 | 简装|高楼层(共6层)  2001年建  -  |北七家|315万|单价23864元/平米
顺义|北七家|温泉花园黄金楼层三居室，南北通透，精装修|温泉花园A区| | 3室2厅 | 172.26平米 | 南 北 | 精装|中楼层(共5层)  1997年建板楼  -  |北七家|300万|单价17416元/平米
顺义|北七家|名佳花园，大复式，精装修，满五唯一。|名佳花园| | 4室2厅 | 121.58平米 | 南 北 | 精装|高楼层(共7层)  2001年建板楼  -  |北七家|320万|单价26321元/平米
顺义|北七家|二层，南北通透两居室，精装修，楼前无遮挡，采光好|名佳花园三区| | 2室1厅 | 110平米 | 南 北 | 精装|低楼层(共6层)  2004年建板楼  -  |北七家|280万|单价25455元/平米
顺义|北七家|望都新地三居室 北京十佳物业 08年小区 满五唯一|望都新地| | 3室2厅 | 139.4平米 | 南 北 | 精装|高楼层(共6层)  2008年建板楼  -  |北七家|359万|单价25754元/平米
顺义|北七家|桃园公寓 全明大四居 黄金楼层 满五唯一 南北通透|桃园公寓| | 4室2厅 | 165平米 | 南 北 | 简装|中楼层(共7层)  1997年建板楼  -  |北七家|310万|单价18788元/平米
顺义|北七家|燕城苑南区一层两居室，拎包入住|燕城苑南区| | 2室1厅 | 69.13平米 | 南 西 | 精装|低楼层(共6层)  1996年建板楼  -  |北七家|212万|单价30667元/平米
顺义|北七家|北亚花园南北双通透两居室 精装修 采光好|北亚花园| | 2室2厅 | 87.97平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |北七家|260万|单价29556元/平米
顺义|北七家|名佳花园三区，黄金三层 南北通透 两居室 商品房|名佳花园三区| | 2室2厅 | 107.73平米 | 南 北 | 简装|中楼层(共5层)  2004年建板楼  -  |北七家|290万|单价26920元/平米
顺义|北七家|北京洋房南北通透上叠，精装修，带露台，满五年唯一|北京洋房| | 4室2厅 | 197平米 | 南 北 | 精装|高楼层(共6层)  2005年建  -  |北七家|690万|单价35026元/平米
顺义|北七家|北亚花园 满五唯一 南北通透 黄金楼层|北亚花园| | 3室1厅 | 110.69平米 | 南 北 | 精装|中楼层(共6层)  2002年建板楼  -  |北七家|280万|单价25296元/平米
